"practice_code","total_all","lsao2011_all_linked ","lsao2011_all_proportion","ethinic_2011_attributed_5_1","ethinic_2011_attributed_5_2","ethinic_2011_attributed_5_3","ethinic_2011_attributed_5_4","ethinic_2011_attributed_5_5","ethinic_2011_attributed_18_01","ethinic_2011_attributed_18_02","ethinic_2011_attributed_18_03","ethinic_2011_attributed_18_04","ethinic_2011_attributed_18_05","ethinic_2011_attributed_18_06","ethinic_2011_attributed_18_07","ethinic_2011_attributed_18_08","ethinic_2011_attributed_18_09","ethinic_2011_attributed_18_10","ethinic_2011_attributed_18_11","ethinic_2011_attributed_18_12","ethinic_2011_attributed_18_13","ethinic_2011_attributed_18_14","ethinic_2011_attributed_18_15","ethinic_2011_attributed_18_16","ethinic_2011_attributed_18_17","ethinic_2011_attributed_18_18"
"K82013",13881,13881,1,0.839960089518468,0.0320841539523475,0.0779369673217934,0.045157773686629,0.00486101552076166,0.774068644965411,0.0132214033416955,0.000293860008275682,0.0523761812030861,0.00822803588813757,0.00537090968584214,0.00933157036521695,0.00915363801315087,0.0189167983905537,0.00771975072769153,0.0285038922535196,0.00920963908677167,0.0135868868632569,0.0301652447927835,0.0104453121624694,0.00454721673137608,0.0016916946765575,0.00316932084420416
"K82014",4999,4996,0.999399879975995,0.833241118229832,0.031192353299671,0.0996878413524696,0.0300515413983829,0.00582714571964489,0.77917764614035,0.0105851242892295,0.00111965505187746,0.042358692748375,0.013733527677941,0.00348639597470975,0.00742183310648467,0.00655059654053552,0.0179251706221208,0.0593121119766221,0.00146522509659566,0.00328490159664278,0.0177004320604882,0.0146682601333714,0.0126457639662821,0.00273751729872942,0.00230678776041022,0.00352035795923467
"K82015",10274,10268,0.999416001557329,0.845823294359957,0.0361463654197674,0.06125508891787,0.0522261328256249,0.00454911847678099,0.794035224224366,0.0137860365323191,9.93211370512574e-05,0.0379027124662204,0.00980966873263046,0.00586185653433433,0.0118852132370119,0.00858962691579064,0.0218740313271953,0.00713076950281413,0.00877886225062846,0.0108738784788949,0.0125975473583371,0.0334580816924534,0.0130359168587258,0.00573213427444582,0.00165346107652279,0.0028956574002582
"K82016",18788,18786,0.999893549073877,0.944693944388633,0.015931204985323,0.0241588807187729,0.0126764145829696,0.00253955532430141,0.903310249364433,0.00925552410950881,0.000407108130515665,0.0317210627841757,0.0049036446465289,0.00242514684081738,0.00472937220099674,0.00387304129697996,0.00894228396852818,0.00219621200340045,0.00077009481895316,0.00574518041529769,0.00650510951259338,0.00889858864013525,0.00280265444811422,0.000975171494720173,0.00086527091585762,0.00167428440844379
"K82017",10841,10841,1,0.730989335432573,0.0302036468461762,0.189126821590591,0.0442777142497086,0.00540248188095153,0.672297020952354,0.00851708218213769,0.000319553616343598,0.0498556786817376,0.0139227598179183,0.00215809804562261,0.00883540140469,0.00528738757794527,0.0220484379005884,0.131832042909032,0.00496740621280898,0.006124521312039,0.0241544132561223,0.0145038809812297,0.0243025120985647,0.00547132116991419,0.00158349662780222,0.00381898525314931
"K82018",14041,14034,0.999501460009971,0.784232352810018,0.0410881521031366,0.126935875897958,0.0415070734888357,0.0062365457000515,0.730982096779133,0.00909252944945011,0.000931218296631036,0.0432265082848042,0.0201876132136449,0.00470039864917916,0.00914020261786364,0.00705993762244897,0.0159379048981523,0.0861143409267643,0.00191891476763026,0.00449250152194099,0.0184722137834701,0.0205982399070776,0.0173060679540383,0.00360276562771982,0.0028759043440777,0.0033606413559738
"K82019",16838,16838,1,0.775399663776549,0.0371652459779182,0.138694594109603,0.0401649664159547,0.00857552971997463,0.71868871064571,0.00950201736370353,0.000745300559273157,0.0464636352078627,0.0175706308633854,0.00437405621365708,0.00750293823566271,0.00771762066521297,0.0191066741746266,0.0880264559144653,0.00142401092848863,0.00423222572194552,0.025905227370077,0.0199913407202268,0.0160932422419579,0.00408038345377005,0.00359226022868191,0.00498326949129272
"K82020",9390,9390,1,0.797072088351899,0.0290559181656098,0.130213330013538,0.0387654390440341,0.00489322442491981,0.744906682198969,0.00872255241274934,0.000520784677291781,0.0429220690628882,0.0130323050389697,0.00205455700199285,0.00822172075444065,0.00574733537020668,0.0194078033865536,0.0824362710722366,0.00359121766463582,0.00617307421601559,0.018604963674096,0.0110699813771793,0.0223942112263618,0.00530124644049297,0.00167230284279405,0.00322092158212576
"K82021",14452,14452,1,0.960770280876652,0.0144212629818252,0.0169140532961481,0.00612243304333692,0.00177196980203756,0.927743635465172,0.00750253806697357,0.000871263777534544,0.0246528435669725,0.00464595959773665,0.000730517184701919,0.00549564802124693,0.00354913817813969,0.00355416352848778,0.00465872768547906,0.000635437769695643,0.00262744655359194,0.00543827775889364,0.00152811994451631,0.00300503927878804,0.00158927382003258,0.00043012886200961,0.00134184094002795
"K82022",10010,10010,1,0.679417222336436,0.0429296342621501,0.202791303660518,0.068771384645035,0.00609045509586017,0.617878068361638,0.00977479921233781,0.000580968243730832,0.0511833865187293,0.0204649812103742,0.00312328852961063,0.0106964250856275,0.00864493943653782,0.020958927448568,0.143207742003305,0.00648732181025115,0.00927789237808683,0.0228594200203072,0.0189407640581717,0.0401065239171024,0.0097240966697609,0.00242326271889822,0.00366719237696195
